game_name,publisher,developer,platform_id,rating,year,genre,game_id
Super Mario Sunshine,Nintendo,Nintendo,20,E,2002.0,Platform,137
Street Fighter II: The World Warrior,Capcom,,8,,1992.0,Fighting,138
World of Warcraft,Activision,Blizzard Entertainment,15,T,2004.0,Role-Playing,139
Driver,GT Interactive,Reflections Interactive,13,T,1999.0,Action,140
Gears of War 3,Microsoft Game Studios,Epic Games,5,M,2011.0,Shooter,141
Kinect Sports,Microsoft Game Studios,Rare Ltd.,5,E10+,2010.0,Sports,142
Gears of War,Microsoft Game Studios,Epic Games,5,M,2006.0,Shooter,143
FIFA 15,Electronic Arts,EA Sports,10,E,2014.0,Sports,144
Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,KCEJ,7,M,2001.0,Action,145
Sonic the Hedgehog 2,Sega,,21,,1992.0,Platform,146
Metal Gear Solid,Konami Digital Entertainment,KCEJ,13,M,1998.0,Action,147
Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,Kojima Productions,6,M,2008.0,Action,148
Final Fantasy XII,Square Enix,Square Enix,7,T,2006.0,Role-Playing,149
The Last of Us,Sony Computer Entertainment Europe,Naughty Dog,6,M,2013.0,Action,150
LittleBigPlanet,Sony Computer Entertainment,"SCE/WWS, Media Molecule",6,E,2008.0,Platform,151
Resident Evil 2,Virgin Interactive,Capcom,13,M,1998.0,Action,152
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,Level 5,4,E10+,2009.0,Role-Playing,153
Tekken 2,Sony Computer Entertainment,Namco,13,T,1996.0,Fighting,154
Destiny,Activision,"Bungie Software, Bungie",10,T,2014.0,Shooter,155
LEGO Star Wars: The Complete Saga,LucasArts,Traveller's Tales,1,E10+,2007.0,Action,156
Cooking Mama,505 Games,Taito Corporation,4,E,2006.0,Simulation,157
Tetris,Nintendo,,2,,1988.0,Puzzle,158
Super Smash Bros.,Nintendo,,12,,1999.0,Fighting,159
Assassin's Creed II,Ubisoft,Ubisoft Montreal,6,M,2009.0,Action,160
Assassin's Creed,Ubisoft,Ubisoft Montreal,5,M,2007.0,Adventure,161
Forza Motorsport 3,Microsoft Game Studios,Turn 10,5,E,2009.0,Racing,162
Super Mario Advance,Nintendo,Nintendo,9,E,2001.0,Platform,163
Monster Hunter Freedom Unite,Capcom,Capcom,17,T,2008.0,Role-Playing,164
Batman: Arkham City,Warner Bros. Interactive Entertainment,Rocksteady Studios,6,T,2011.0,Action,165
Grand Theft Auto V,Take-Two Interactive,Rockstar North,18,M,2014.0,Action,166
Mario Kart: Super Circuit,Nintendo,Intelligent Systems,9,E,2001.0,Racing,167
Super Mario World,Nintendo,,9,,2001.0,Platform,168
Pokemon Stadium,Nintendo,,12,,1999.0,Strategy,169
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,Traveller's Tales,7,E,2001.0,Platform,170
